1.0141	-0.34733	-0.4064	-0.81648	-0.7163
0.9913	-0.4699	-0.35965	-0.77029	-0.78515
1.1464	-0.65916	-0.34264	-0.47536	-0.69254
0.14665	-2.1937	1.3397	-0.59671	0.48819
0.86582	-0.71961	-0.48127	-0.76968	-0.92964
0.99091	-0.46258	-0.48298	-0.68007	-0.90665
0.79912	-0.8289	-0.59515	-0.85474	-0.86986
0.8429	-0.92905	-0.58005	-0.81834	-0.71356
0.93358	-0.75298	-0.33955	-0.76886	-0.82282
1.0077	-0.63745	-0.093032	-0.71641	-0.68805
0.12257	-1.3214	-0.82282	-1.1813	-0.57825
1.1348	-0.59119	-0.38761	-0.61998	-0.65535
0.77076	-0.999	-0.64868	-0.87524	-0.66657
1.0118	-0.16474	-0.088912	-0.94234	-0.27703
0.88661	-0.64729	-0.517	-0.72182	-0.94589
0.75257	-0.89757	-0.51692	-0.89461	-0.88847
0.9012	-0.56328	-0.49518	-0.69357	-1.0153
0.97841	-0.77254	-0.39473	-0.61073	-0.8468
0.89903	-0.7972	-0.57854	-0.80817	-0.77865
3.903	6.7724	-2.5267	2.7168	-2.1645
0.82898	-0.94591	-0.47364	-0.85437	-0.81388
0.94176	-0.61416	-0.47085	-0.77187	-0.83833
0.9535	-0.43901	0.29132	-0.91029	-0.32472
0.71512	-0.84404	-0.5945	-0.99534	-0.85054
0.91239	-0.7871	-0.32928	-0.83151	-0.81423
1.0298	-0.52001	-0.55141	-0.78209	-0.5731
0.66301	-0.9982	-0.59858	-0.93313	-0.80809
0.86781	-0.85611	-0.55635	-0.6927	-0.84984
0.19489	-0.58487	-1.6645	0.2925	0.96838
0.70998	-0.88575	-0.56099	-0.90977	-0.90863
0.67841	-0.96777	-0.54172	-0.99735	-0.83649
1.0107	-0.6552	-0.59267	-0.56307	-0.7738
0.93836	-0.67253	-0.56123	-0.80071	-0.82157
0.90814	-0.70079	-0.51123	-0.73996	-0.90007
1.1247	-0.17569	-0.79602	-0.57071	-0.62886
1.1276	-0.36989	-0.32358	-0.71311	-0.42236
-1.9361	-2.788	-1.3537	-1.2204	0.20629
1.0853	-0.66059	-0.54293	-0.71894	-0.53066
1.1059	-1.1727	0.16729	-0.56003	-0.72799
1.0034	-0.69607	-0.61504	-0.78533	-0.60487
0.87432	-0.74807	-0.59491	-0.86644	-0.74138
1.0496	-0.83453	-0.38322	-0.58722	-0.73452
1.0842	-0.51323	-0.49044	-0.60493	-0.75554
0.9593	-0.66083	-0.52673	-0.80437	-0.72811
0.86798	-0.67942	-0.58014	-0.76049	-0.86366
2.2633	-3.2097	-1.3929	1.1693	2.6029
0.93665	-0.92088	-0.54308	-0.7775	-0.64854
1.0006	-0.63076	-0.52075	-0.73391	-0.76639
0.75575	-0.93361	-0.51376	-0.99257	-0.78897
1.0155	-0.53837	0.33882	-0.83318	-0.24866
1.0243	-0.57402	-0.40865	-0.6404	-0.82504
1.1109	-0.38463	-0.46499	-0.66769	-0.59856
1.0663	-0.42044	-0.89504	-0.4046	-0.34726
0.5491	-1.1009	-0.58448	-1.074	-0.75556
0.93682	-0.55385	-0.51189	-0.7114	-0.90213
1.0233	-0.49071	-0.54036	-0.6569	-0.74639
0.91032	-0.68704	-0.54745	-0.75853	-0.82286
