1.5312	-1.4211	-1.7192
5.0396	-3.536	5.7356
1.8791	-0.84013	-1.1027
1.9431	-0.7909	-1.0097
1.8306	-0.93216	-1.1833
1.8503	-1.1592	-0.98009
1.8671	-1.0851	-0.98685
1.8398	-0.8115	-1.1966
1.8984	-1.0268	-0.98231
1.88	-0.90877	-1.1
1.6306	-1.1161	-1.6234
1.9589	-0.79081	-0.98286
1.9026	-0.83787	-1.0554
1.463	-1.4102	-1.8401
1.6256	-1.1989	-1.6016
1.4545	-1.7864	-1.4059
1.8129	-1.0125	-1.2087
1.5536	-1.2717	-1.7418
1.6895	-1.1521	-1.453
1.9136	-0.63178	-1.1212
1.898	-0.71322	-1.1069
1.7074	-1.1063	-1.4508
1.7045	-1.1084	-1.4539
1.8386	-0.95331	-1.1235
1.7532	-1.0982	-1.346
1.8308	-1.0115	-1.0952
1.8187	-0.81813	-1.2689
1.8549	-0.79896	-1.1805
1.8772	-0.9676	-1.0317
1.8391	-1.1161	-1.0205
1.9512	-1.3055	-0.77894
1.8852	-0.94152	-1.0629
1.7848	-0.87755	-1.3014
1.8539	-0.79851	-1.162
1.906	-1.1339	-0.90534
1.8149	-0.93146	-1.1839
1.7845	-0.93367	-1.3083
1.791	-0.99889	-1.231
1.7314	-1.0104	-1.3565
1.8958	-1.1443	-0.92496
1.8971	-0.83178	-1.0527
1.8073	-1.0014	-1.1735
1.8734	-1.015	-1.0151
1.7647	-1.0176	-1.2839
1.7681	-1.051	-1.1969
1.9205	-1.1736	-0.87322
1.6579	-1.1972	-1.5247
1.6963	-1.1281	-1.4343
1.9035	-0.80907	-1.0673
1.8256	-0.96459	-1.1649
1.8898	-0.90506	-1.041
1.4618	-1.4391	-1.8238
1.8275	-0.91012	-1.211
1.0359	-2.5659	-1.1126
1.9554	-1.211	-0.81526
1.6338	-1.1915	-1.5942
1.9201	-0.83621	-1.021
1.8394	-1.0748	-1.0445
1.6774	-1.1825	-1.4877
1.4743	-1.5478	-1.7073
1.6085	-1.2876	-1.6402
1.742	-1.1005	-1.322
1.9089	-0.96573	-0.9917
1.8262	-0.93163	-1.1837
1.7336	-1.1307	-1.3736
1.7686	-0.94975	-1.3097
1.8277	-0.84442	-1.2468
1.7831	-0.99575	-1.2888
1.7994	-0.9744	-1.2315
1.6294	-1.2613	-1.579
-2.611	-5.2687	-0.26465
1.9093	-0.96251	-0.97487
1.7267	-0.96218	-1.4561
1.9116	-0.73441	-1.083
1.4637	-1.5813	-1.6882
1.736	-1.0591	-1.4041
1.8191	-1.0036	-1.1606
1.7407	-0.98004	-1.379
1.6281	-1.216	-1.615
1.8596	-0.86923	-1.1361
1.8503	-0.9512	-1.1202
1.5806	-1.2332	-1.6963
1.7718	-0.98822	-1.305
1.8475	-0.68783	-1.271
1.6974	-2.4864	-1.3811
2.1686	-1.4137	-0.44589
1.9566	-0.87618	-0.9635
1.8227	-0.95682	-1.158
1.7987	-0.85301	-1.3042
1.9363	-1.0756	-0.90298
1.9955	-0.89344	-0.90074
1.2595	-2.0704	-1.3046
1.8383	-0.83837	-1.2155
1.7421	-1.0604	-1.299
