1.0953	-0.8734	-0.20495	-0.49454
0.98048	-0.66431	-0.5238	-0.64012
1.0598	-1.062	-0.2087	-0.61245
0.74806	-0.83425	-0.79444	-0.60846
1.1725	-0.63536	-0.28672	-0.50449
0.68508	-0.83912	-0.83688	-0.59298
0.93906	-0.77447	-0.51643	-0.64629
1.2147	-0.65586	0.12177	-0.59961
1.0853	-0.70891	-0.10655	-0.65241
0.63322	-0.64509	-0.68625	-0.94455
1.058	-0.56468	-0.48995	-0.6439
0.95095	-0.76016	-0.47819	-0.60656
0.7802	-0.84612	-0.82691	-0.53239
0.94285	-0.64952	-0.3327	-0.81888
1.0579	-0.62043	-0.3301	-0.63974
0.92902	-0.82438	-0.39492	-0.68278
0.9675	-0.82168	-0.39621	-0.66135
1.1034	-0.66746	-0.30549	-0.57506
0.55552	-0.94464	-0.86768	-0.46879
0.87096	2.1041	-2.6203	0.02489
1.0881	-0.52752	-0.44214	-0.654
0.8781	-0.85809	-0.51677	-0.67769
0.85441	-0.72311	-0.56823	-0.73442
0.95651	-0.67411	-0.62799	-0.53635
1.0408	-0.67574	-0.40844	-0.61545
1.1496	-0.40394	-0.76445	-0.48382
0.96091	-0.61138	-0.47542	-0.7672
0.91442	-0.58941	-0.54927	-0.75262
0.98671	-0.71554	-0.54042	-0.5879
0.87261	-0.66875	-0.64343	-0.71657
0.98605	-0.5765	-0.5624	-0.63934
0.97167	-0.60349	-0.56365	-0.67529
0.94124	-0.53785	-0.48547	-0.83137
1.2308	-0.54576	-0.35928	-0.4972
1.0766	-0.49851	-0.55146	-0.60666
0.743	-0.7285	-0.68304	-0.76591
1.0367	-0.64798	-0.50572	-0.58306
1.0246	-1.7914	1.6721	-0.72411
1.113	-0.71716	-0.47073	-0.43742
0.85979	-0.53553	-0.49724	-0.97391
0.75598	-0.81859	-0.629	-0.73089
1.8692	-2.4948	-1.6841	1.0243
0.82476	-0.75124	-0.44993	-0.79873
1.0144	-0.67069	-0.47888	-0.5756
1.0328	-0.56735	-0.49748	-0.64888
1.0791	-0.59925	-0.3245	-0.65867
1.1229	-0.89041	-0.30596	-0.43239
1.5546	-2.0984	-1.4171	0.58807
1.0576	-0.53354	-0.32813	-0.73904
0.70323	-0.71201	-0.6383	-0.84184
0.74422	-0.80764	-0.80909	-0.60182
0.94509	-0.74716	-0.42107	-0.67002
0.9576	-0.56114	-0.57781	-0.7559
1.0921	-0.73086	0.036532	-0.69408
0.99944	-0.53802	-0.23913	-0.85584
0.86939	-0.54664	-0.53946	-0.91759
0.9795	-0.82727	-0.56934	-0.55304
1.0913	-0.57802	-0.34408	-0.62832
0.97117	-0.76352	-0.23256	-0.73676
1.0643	-0.61388	-0.30057	-0.64967
0.66968	-0.79093	-0.78053	-0.68177
0.75857	-0.68625	-0.59179	-0.80435
0.71976	-0.96201	-0.88295	-0.3635
0.93144	-0.67658	-0.49195	-0.69614
-0.50979	-1.3524	-0.76562	-0.84167
1.1938	-0.5671	-0.38717	-0.47366
1.1758	-0.618	-0.47839	-0.40743
0.75266	-0.82979	-0.50701	-0.78744
0.73329	-0.62917	-0.58884	-0.918
1.1074	-0.90924	-0.061821	-0.54825
1.0042	-0.40112	-0.66392	-0.76706
1.0792	-0.62964	-0.37881	-0.6042
0.7765	-0.72204	-0.6798	-0.74462
0.76765	-0.79757	-0.69785	-0.69969
